username,repo_name,stars,repo_url
ccxt,ccxt,https://github.com/ccxt/ccxt,19800
hubotio,hubot,https://github.com/hubotio/hubot,15900
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,15000
timgrossmann,InstaPy,https://github.com/timgrossmann/InstaPy,12800
discordjs,discord.js,https://github.com/discordjs/discord.js,12100
RasaHQ,rasa,https://github.com/RasaHQ/rasa,11500
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,11200
howdyai,botkit,https://github.com/howdyai/botkit,10400
botpress,botpress,https://github.com/botpress/botpress,9200
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,8300
leon-ai,leon,https://github.com/leon-ai/leon,7500
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6500
microsoft,ailab,https://github.com/microsoft/ailab,6400
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6000
botman,botman,https://github.com/botman/botman,5400
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,5300
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5200
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,4800
telegraf,telegraf,https://github.com/telegraf/telegraf,4700
axa-group,nlp.js,https://github.com/axa-group/nlp.js,4400
jef,streetmerchant,https://github.com/jef/streetmerchant,4300
ohld,igbot,https://github.com/ohld/igbot,3900
PokemonGoF,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,3700
Yoctol,bottender,https://github.com/Yoctol/bottender,3600
snipsco,snips-nlu,https://github.com/snipsco/snips-nlu,3500
goq,telegram-list,https://github.com/goq/telegram-list,3100
orkestral,venom,https://github.com/orkestral/venom,2700
botui,botui,https://github.com/botui/botui,2600
jesse-ai,jesse,https://github.com/jesse-ai/jesse,2600
